filename,type,category,description,source,source_url,license_type,attribution,commercial_ok,deidentify,clearance,notes
20260602_real-photo-wof-lapd-hollywood-02.jpg,image,image,Photo wof lapd hollywood-02.JPG,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Photo_wof_lapd_hollywood-02.JPG,CC BY-SA 3.0,Nightwish62,Y,N,🟡待人工確認,
20260602_real-wattsriots-policearrest-loc.jpg,image,image,Wattsriots-policearrest-loc.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wattsriots-policearrest-loc.jpg,Public domain,N,Y,N,🟡待人工確認,
20260602_real-fingerprinting-1928.jpg,image,image,Fingerprinting 1928.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fingerprinting_1928.jpg,CC BY 4.0,Los Angeles Daily News,Y,N,🟡待人工確認,
20260602_real-los-angeles-police-department-officers-at-a-crim.jpg,image,image,Los Angeles Police Department officers at a crime scene in July 2007.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Los_Angeles_Police_Department_officers_at_a_crime_scene_in_July_2007.jpg,CC BY 2.0,Shay Sowden,Y,N,🟡待人工確認,
20260602_real-captain-midnight-hbo.jpg,image,image,Captain Midnight HBO.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Captain_Midnight_HBO.jpg,Public domain,N,Y,N,🟡待人工確認,
20260602_real-dark-cellar-metal-door-american-homes-and-garden.jpg,image,image,dark cellar metal door — American homes and gardens (1905) (18147108592).jpg,Commons,https://commons.wikimedia.org/wiki/File:American_homes_and_gardens_(1905)_(18147108592).jpg,No restrictions,Internet Archive Book Images,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-run-down-suburb-street-a-run-down-station-and-tr.jpg,image,image,run-down suburb street — A run-down station and train - geograph.org.uk - 3438384.jpg,Commons,https://commons.wikimedia.org/wiki/File:A_run-down_station_and_train_-_geograph.org.uk_-_3438384.jpg,CC BY-SA 2.0,Richard Green,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-granthsla.jpg,image,image,加州洛杉磯　范努伊斯 — GrantHSLA.JPG,Commons,https://commons.wikimedia.org/wiki/File:GrantHSLA.JPG,CC BY-SA 3.0,Trackinfo,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-cold-case-investigation-office-files-a-clue-in-a.jpg,image,image,cold case investigation office files — A Clue in an on going murder investigation Cold War promotion becomes Coup p.1.jpg,Commons,https://commons.wikimedia.org/wiki/File:A_Clue_in_an_on_going_murder_investigation_Cold_War_promotion_becomes_Coup_p.1.jpg,Public domain,N,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-van-nuys-los-angeles-apartment-building-1980s-yo.jpg,image,image,Van Nuys Los Angeles apartment building 1980s — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=vfi528yVlEM,CC BY 3.0（YouTube，待人工確認）,Yes In My Backyard,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-dark-abandoned-cinematic-youtube-cc.jpg,image,image,dark abandoned cinematic — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=0cKRJMnFJ3g,CC BY 3.0（YouTube，待人工確認）,No copyright clip,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-forensic-dna-laboratory-equipment-youtube-cc.jpg,image,image,forensic DNA laboratory equipment — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=8WXSAnGm8Mo,CC BY 3.0（YouTube，待人工確認）,ness e,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-run-down-suburb-street-youtube-cc.jpg,image,image,run-down suburb street — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=tpCi8JycZTs,CC BY 3.0（YouTube，待人工確認）,Soundrise Speaker Stands,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-dark-abandoned-cinematic-youtube-cc.jpg,image,image,dark abandoned cinematic — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=1e9R32MM6rg,CC BY 3.0（YouTube，待人工確認）,FreeMotionGraphics,Y,N,🟡待人工確認,live 命中自動歸檔
20260602_real-forensic-dna-laboratory-equipment-youtube-cc.jpg,image,image,forensic DNA laboratory equipment — YouTube CC 片段,YouTube-CC,https://www.youtube.com/watch?v=bqGrlcDKWKA,CC BY 3.0（YouTube，待人工確認）,Denver Police,Y,N,🟡待人工確認,live 命中自動歸檔
